iter	MAP:top=7
0	0.05025717032
1	0.05439844974
2	0.06063552482
3	0.06082043569
4	0.06061031499
5	0.06089093488
6	0.0612839491
7	0.06105873689
8	0.06122430324
9	0.0616934986
10	0.06252680659
11	0.06268125793
12	0.06370265092
13	0.06368373293
14	0.06401115766
15	0.06432358725
16	0.06460845559
17	0.06512475332
18	0.06565054851
19	0.06656898344
20	0.06595498902
21	0.06598598172
22	0.06657247495
23	0.06698050601
24	0.06721726798
25	0.06763450995
26	0.0679813235
27	0.06817414467
28	0.06865570839
29	0.06921573251
30	0.06943231607
31	0.06960581076
32	0.06997631501
33	0.07016324713
34	0.07028643337
35	0.07049704408
36	0.07046936638
37	0.07067938365
38	0.07094776648
39	0.0710383765
40	0.07125962545
41	0.07143038968
42	0.07188696871
43	0.07202219609
44	0.07241426682
45	0.07245963884
46	0.07265103153
47	0.07262659052
48	0.07273999044
49	0.07260207598
50	0.07273379473
51	0.07278021049
52	0.07307037169
53	0.07340582614
54	0.07361954407
55	0.07376616481
56	0.07396646266
57	0.07402132599
58	0.07421794966
59	0.07402961829
60	0.07413891156
61	0.07442679076
62	0.0746119656
63	0.07472345913
64	0.0746214875
65	0.07479733178
66	0.0750159254
67	0.07480923752
68	0.074808355
69	0.07494919834
70	0.07494333646
71	0.07491570329
72	0.07489291041
73	0.07514368272
74	0.07532579349
75	0.0753354766
76	0.07536738996
77	0.07552858936
78	0.07515156242
79	0.07530787494
80	0.07516240731
81	0.07503289384
82	0.07511155701
83	0.07491388504
84	0.07498871533
85	0.07491119636
86	0.07503540053
87	0.0751083322
88	0.07502019668
89	0.07506697275
90	0.07521482765
91	0.06177247163
92	0.06186808269
93	0.06188849788
94	0.0580819178
95	0.05796795549
96	0.05800097993
97	0.05801588215
98	0.05805467143
99	0.05827960096
100	0.05821323673
101	0.05829592207
102	0.05828046956
103	0.05830055229
104	0.05829253445
105	0.05832620509
106	0.05848451397
107	0.05843566437
108	0.05846303883
109	0.05860870124
110	0.05856095428
111	0.05856818116
112	0.05860821785
113	0.05850699585
114	0.0585189653
115	0.05845867211
116	0.05849808498
117	0.05840496028
118	0.05850579868
119	0.05848418996
120	0.05851835016
121	0.05844771373
122	0.05856175323
123	0.0586210205
124	0.05866370819
